일련번호,설교일,예배종류,성경본문,추가본문,설교제목,설교 요약,메모,설교록정보,파일코드
2311,1986-04-25,금요일저녁,신 28:1-19,,바른 길로 인도하셔서 복을 주시지-,"-옳지 않은 길로 주님이 인도하여도 순종하니 그 상으로 주는 것이 아니다
=========1

제목: 행함과   축복
서론
말씀을 대할 때의 자세
본론
1.두가지 비판과 평가
  ㄱ. 현실에서 하나님의 인도는 똑바로 성공되는 길
  ㄴ.손해가 가지마는 하나님께서 축복으로 잘 되게 해 주신다
2.하나님의 전지전능과 연결되는 현실의 하나님의 인도 순종
결론
회개의 효력이 나타나야 됨
======================
 ",,136호 114쪽,1986042553
2312,1986-04-26,토-새벽,롬 1:17,,,"제목: 의인과 의인 생활 법칙
서론
1.경로에 대해서
2.기도하는 사람이 주관주의가 돼지면 불건전한 신비주의가 된다.
본론
1)  1.우리자신이 의인이라는 것을 알아야 한다
    2.의인 생활 법칙
2) 폭발 구원과 준비구원
3)나는 의인이라는 것을 자꾸 다짐할 것
4)머리 모양에 대한 교훈
5)하나님의 의
결론
 자기가 의인이라는 것을 깊이 느끼고 의인으로 살 것
=================2",,136호 139쪽,1986042660
2313,1986-04-27,주일-새벽,롬 1:17,,,"제목: 의인이 의인으로 사는 것
서론
1.하나님의 계약을 믿는 자
2.세가지 노와 세가지 기뻐하시는 것
본론
1.우리는 의인이다.
2.의인이 의인 생활하면 죽지 않는다
결론
 이 계약을 믿는 자와 믿지 않는 자에 대한   보응
============2",,136호 163쪽,1986042700
2314,1986-04-27,주일오전,요 5:1-18,,송구영신,"다섯가지 교훈
",,136호 185쪽,1986042701
2315,1986-04-27,주일오후,요 5:7-18,,송구영신,"일곱 가지 도리(총정리)

제목: 병나은 열가지 순서
서론
행해야 자기 구원이 된다
본론
1. 내 현실은 송구영신하는 현실이다
2.중환자에게 예수님이 찾아 오심
3. 네가지를 부인하라
4.낫고자 하는 것
5.낫고자 하는 사람이  제일 행복을 가짐
6.일어서라
7.자리를 들고
8.걸어가라
9.성전안으로 들어가라
10.병이 나았으니 다시는 죄를 범하지 말라
11.핍박이 있다
=====2
",,136호 208쪽,1986042702
2316,1986-04-28,월-새벽,요 5:5-9,,,"제목; 일어서서 자리를 들고 걸어가라
서론
1.송구영신 절기
2.제일 중환자에게 주님이 찾아오신 것
3.네가지 난제
본론
1.일어서는 것
2.자리를 드는 것
3.걸어 가는 것
결론
주님을 향해서 믿는 사람 되자
========2 ",,136호 235쪽,1986042810
2317,1986-04-29,월-새벽,롬 1:17,,,,,136호 250쪽,1986042910
2318,1986-04-30,수요일저녁,신 28:1-19,,,,,136호 263쪽,1986043033
2319,1986-05-01,목-새벽,신 28:1-6,,,"제목: 하나님의 축복
서론 
과학에 대해
본론
1.삼가 듣는 것
2.하나님을 두려워함
3.말씀대로 함
결론
하나님과 말씀에 믿으니 복이 됨
==========2",,136호 284쪽,1986050140
2320,1986-05-02,금-새벽,요 5:5-9,,,"제목: 하나님의 말씀의 판이성
서언
하나님의 말씀과 세상에 모든 말과 근본적으로 다르다
본론
1.병고침과 건강한 자의 강팍
2.하나님의 말씀의 권위를 알고 삼가 듣고 행할 것
3.본문 말씀은 특별계시의 말씀으로서 형식계시와 문서계시의 이치로 나타내신 말씀임
4.매미 부화 예화드심
5.하나님의 말씀은 복종해야 할 말씀
6.심신의 기능의 차이
결론
믿음을 지킬 것
======2",,136호 306쪽,1986050250
2321,1986-05-02,지권찰회,벧전 1:24-25,,,"제목: 대구 집회 참석

1.하나님 한분에게만 맞추어 사는 것 외는 생명 끊어진 짐승과 같이 아무 가치없다
2.하나님과 연결된 사람이 제일 두렵다
결
대구 집회가서 하나님의 크심을 알 것
========2",,136호 321쪽,1986050281
2322,1986-05-02,금요일저녁,롬 1:16-17,,,,,136호 328쪽,1986050253
2323,1986-05-03,토-새벽,롬 1:16-17,,,,,136호 355쪽,1986050360
2324,1986-05-04,주일-새벽,롬 1:16-17,,현재의 고난은 장차 우리에게 나타날-,-영광과 족히 비교할 수 없다,,136호 365쪽,1986050400
2325,1986-05-04,주일오전,마 4:1-11,,,,,136호 381쪽,1986050401
2326,1984-06-04,월-새벽,시 23:1-6,,여호와 목자,"1절해석-우리안에서 역사하시는 하나님의 역사와 나타나는 외부의 형태:하나님이 역사하시나 내가 하는 것 같이 보여짐
모든 것은 하나님이 하심의 예증
하나님이 하심에 대해서 깨달은 성도들의 기도
여호와 목자를 모신자에 대한 보상(?)
원수의 목전에서 상을 베푸시고 기름으로 바름의 해석과 그 예증
통성기도 후:새벽기도 ,주일학교 권면
제목: 여호와를 목자로 모셔라
1. 전적 하나님의 은혜로 살아 가는 우리와 예증
ㄱ. 이스라엘 광야 생활의 교훈
ㄴ. 예증
ㄷ. 깨닫는 자의 고백
ㄹ. 깨달은 자들의 기도

2.  원수의 목전에서 내게 상을 베푸시고
3. 여호와를 목자로 삼는 자에게 대한 상급 네가지와 예증
ㄱ. 네 가지 상금
ㄴ. 예증들
ㄷ. 주일학교 반사의 승리
ㄹ. 나를 안위하시나이다
4. 여호와만 떠나지 아니하면 승리한다.
< 새벽기도, 재독, 충성강조 >-1-.",,107호 76쪽,1984060410
2327,1984-06-05,화-새벽,마 14:26-33,,신앙생활의 일치,"오늘 아침 본문 준비를 못하고 나온 데 대해
말,마음,행동,지식이 일치된 자가 참자기다-본1
하나님앞에서 소원하는데 대해-본2
순종에 대해-본3
본1,2,3전부에 대해 종합해서 언급하심
신약시대 말년과 외식에 대해 말씀하시고 생명을 초월한 소원과 믿음이어야만 하나님의 능력이 와서 역사하실 수 있다
표적에 대해
결론
      신앙생활에 일치가 되야 한다
 보충; 진실해야 한다
 ----------------
제목:생명을 담보로 한 믿음
1. 말씀 준비 배경
2. 자신을 돌아볼 것들
3. 하나님의 크심을 깨닫는 자가 되자
4. 일치가 된 신앙생활을 하자
============1",,107호 91쪽,1984060520
2328,1984-06-05,교역자회,마 23:1-7,,외식은 자살 행위,"자기를 부인하지 않고는 올바른 신앙생활을 할 수가 없다
1. 육체 이스라엘의 멸암 원인은 외식
2. 외식은 주님 안 위하고 자기 위하는 것
3. 자기 우;하는 것음 자살 행위
4. 자기를 부인하라
---------------
제목:자기를 부인하라
1. 모든 멸망과 불행의 원인은 외식
2. 자기 위하는 것을 자살 행위이다
==========1",,107호 106쪽,1984060513
2329,1984-06-06,수-새벽,마 23:1-12,,외식으로 하지 말고 능력을 받고 전하자,"외식에 대한 것을 가르쳐 주신 본문의 장
서기관과 바리새인들의 직책
하나님의 율법(성경)이 우리 에게 알여 주시는 것-세가지(대형으로 인한 사죄,대행으로 칭의, 화친,대속을 벗지 않는방편-현실에서 해당되는 하나님의 율법을 지키는 것)
하나님의 말씀을 들을 때에 외식이 되는 길과 바로 되는 길
말씀을 듣고 행할 것과 행치 아니할 것
무거운 짐을 묶어 사람들의 어깨 위에 지운다는 말씀의 해석:전하는 사람은 말씀을 자기가 행하고 말씀속에 있는 성령의능력을 같이 전하지 않으면 듣는 사람에게 무거운 짐이 된다
외식은 하나님을 상대하지 않고 사람을 상대해서 사람을 보고 하는 것이 외식이다
8.속에 하나님을 모시고 하나님께 복종하는 것이 중요하다
 통성기도 후 1.사람의 지식으로 무엇을 할 수 있는 것 아니다. 모든 것은 하나님께서 하신다
                  2.기도회 하는 것을 사람이 한 것으로 알지 말고 하나님의 하신 역사이니 다 하도록 하자 
-------------------
제목: 외식하는 자가 되지 말라
1. 모세의 자리에 않았다
2. 행위와 진리를 혼합하지 말라
3. 무거운 짐과 가벼운 길
4. 양면을 다 갖춰라
5. 참되고 가증한 자가 되지 말라
===========1",,107호 109쪽,1984060630
2330,1984-06-06,수요일저녁,약 5:13-20,,하나님을 알리는 기도와 기도의 주의 및 목적,"우리에 대한 하나님의 소원과 그 소원을 위한 하나님의 역사
서론
       1.우리에게 대한 하나님의 소원과 그 소원을 위한 하나님의 역사
          ㄱ.예수님의 근본
          ㄴ.하나님을 아는 지식이 피조물의 생명과 평강
          ㄷ.하나님의 소원->하나님을 우리에게 알리는 것->우리의 평강을 위해서. 하나님의 소원위한 노력: 
                                계약을 지키는 자에게  즉시 이루어짐(계약대로)
본론
       1.하나님을 알리려는 하나님의 역사인 기도: 하나님을 알기 위해서 어려운이 있으면 기도하라(본문근거).기도하되 합심해서 기도해라
       2.기도함에 있어서의 주의
          ㄱ.기름을 바르면서 기도해라; 자기가 할 수 있는 것은 하면서 해라. 하되 사람이 하는 것은 아니고 하나님이 그를 통해서 하시는 것을 
               기억해야 한다
          ㄴ.기도해도 들어 주시지 않을 때에는 자기에게 있는 고칠점을 찾고,시기를 기다릴 것
       3. 1,2 요약 복습
       4.기도하는 목적: 죄,마귀의 일,사망을 없애기 위해서
       5.하나님을 알기 위한 기도와 기도에 대한 주의,목적에 대한 복음, 보충
       6.기도해서 잘되고 난 다음의 주의:스스로 했다고 생각지 말 것
       7.요점정리 및 하나님이 우리 복음과 함께 하시는 증거인 대구집회에서의 표적과 그 예증
결론
       단합해서 잘못된 것은 고쳐가면서 죄,마귀의 일,사망을 멸하려는 목적으로 기도하기로 결의 하자
      이렇게 하면 모든 것이 해결되고 생명과 평강 가운데서 살 수 있을 것이다.
--------------------------
제목:주님의 소원
1. 주님의 소원
2. 기도하면 응답해 주신다
3. 항상 기도하라
4. 기도로 모든 일을 하자
===========1",,222호 125쪽,1984060633
2331,1984-06-07,목-새벽,약 5:13-20,,"기도의 필요성,단합기도","올바른 신관:사람들의 주관대로가 아니고 성경대로의 하나님
우리의 자유성을 살려서 하나님을 알리여는 하나님의 노력:설득
본론
1.우리가 알 것 세 가지
 ㄱ.우리에게 있는 모든 좋은 것은 하나님이 주신 것
 ㄴ.우리에게 있는 모든 나쁜 것은 하나님이 주신 것
 ㄷ.좋은 것을 받고 나쁜 것을 치료 받는 것은 하나님께만
2. 그러므로 기도의 필요성
3. 좋은 것을 구하고 나쁜 것을 치료함에 있어서의 기도하는 방편
 ㄱ. 나쁜 것을 치료 받을 때: 자기의 잘못을 찾아서 회개
 ㄴ. 좋은 것을 구할때에는 세 가지 목적으로(죄, 마귀의 일, 사망) 
4. 기도의 필요성과 기도함에 있어서의 방편 보충 복습
5. 기도의 필요성과 단합해서 기도하되 윗 사람을 위해서 기도할 것
6. 기도의 방편과 주의 및 능력
결론
기도시간을 뺏기지 말고 기도하는 사람이 되라",,107호 145쪽,1984060740
2332,1984-06-08,금-새벽,딤전 6:17-21,,물질 취급,"서론
인간의 말과 하나님의 말씀을 구별해야 되고 하나님의 말씀이라도 하나님이 그 시간 자기에게 선택해 주시는 말씀을전해야 한다
본론
1. 물질취급에 있어서 치우치지 말고 보관, 사용, 남을 주는데 있어서 순종으로 할 것
2. 물질 취급에 있어서 소망은 하나님에게 두라
3. 물질 취급에 있어서 주권과 섭리가 하나님에게 있으니 하나님의 것을 하나님이 주신 선물인줄 알고 취급할것
결론
물질취급 방법은 세 가지가 있어서 이를 믿음으로 취급하라
(세 가지를 크게 두 가지로 나누면 (끌어들이는 것, 내 보내는 것)",,107호 165쪽,1984060850
2333,1984-06-08,지권찰회,롬 8:4-7,,"계, 결혼, 장례에 대해서","하나님 중심이 아닌 자기 중심은 망하는 것이다
교역자 회에서 다르모시 금하기로 결의함
결혼에 대해서 작정한 것
결혼에 대해서 재 약정함
계, 결혼, 장례에 대해서 전체적으로 말씀하심
",,107호 178쪽,1984060881
2334,1984-06-09,토-새벽,약 5:13-20,,"행,불행을 주신 목적","원하는 행복과 원치않는 불행을 주신 이유?
그런 방편을 쓰신 하나님의 두 가지 목적에 대해
본1반복.보충,강조
다섯가지가 내나 두 가지이다
다섯가지
보충
-------------
제목: 기도의 필요성과 방편
1. 하나님을 대접하는 것
2. 믿을 것 세 가지
3. 기도해야 하나님이 주신다
4. 기도하는 방편
5. 기도 시간 뺏기면 헛 일이다
------------ 1",,333호 187쪽,1984060960
2335,1984-06-10,주일-새벽,히 11:1-12,,믿음(영원한 보응이 있는 언행심사),"성경의 정확무오성(신,구약 성경에 기록된 것을 그대로 인정하고 복종하는 것이 믿음
모든 것을 알지 못하심이 없으신 하나님의 능력과 사람의 언행심사가  다 드러날 것
영원한 보응이 있는 언행심사;당장에 상벌이 나타나지 않는 것은 영원한 것으로 이자가 붙는다
믿음으로 사는 것의 가치
하나님의 말씀을 믿음으로 전하면 이 말씀이 역사해서 모든 일을 승리케 한다
",,107호 201쪽,1984061000
2336,1984-06-10,공과,마 16:13-20,,영감된 사람,,,107호 209쪽,1984061076
2337,1984-06-10,주일오전,마 16:13-28,,베드로의 영감신앙,"성경은 구원도리로 준 말씀
본문의 교훈 세가지
구원을 이루어 가는데 애로 두가지-자기부인, 십자가의 어려움
영감된 사람
서론
성경에 기록되어 있는 모든 사건들은 역사적 사실함이 아니고 우리의 구원도리를 가르치고 있다.
본론
1. 본문에서 가르치고 있는 세가지
 ㄱ, 사람이 망하는 길
 ㄴ. 구원 얻는 길
 ㄷ. 멸망을 피하고 구원 얻는데의 애로
2. 시 23:5 상반절의 상에 대하여
3. 멸망한 첫째 원인: 여론에 따라서 믿는 것
4. 멸망한 둘째 원인: 자기 주관대로 믿는 것
5. 여론, 주관대로 믿는 것은 구원은 못 이룬다
6. 구원 이루는 방편: 성신의 감화대로
7. 성경속의 영감
8. 영감대로 믿을때의 두 가지 애로(자기부인, 자기 십자가)
결론
여론 주관 신앙은 망한다. 영감대로 믿는 것만 구원이 된다.영감대로 믿을려면 자기 부인 자기 십자가를 지고 가는 두가지를 각오해야 한다.
============================================<2>
2.
  1)여론을 따라 가면 망한다.
  2)주관 따라 가면 망한다.
  3)영감신앙 베드로에게 대한 축복의 약속들
",,107호 211쪽,1984061001
2338,1984-06-10,주일오후,행 7:52-60,행8:1-8,영감신앙,"건설구원에 대해
두가지 멸망하는신앙
말씀을 지켜 행하는 목적
오후 봉독한 말씀에 대해
주관, 여론 신앙을 벗어나 자기를 부인하고 영감신앙으로 살 것
",,107호 222쪽,1984061002
2339,1984-06-11,월-새벽,마 16:13-28,,영감신앙으로 살아라,"믿음의 도리로 준 성령
버려야 할 신앙과 가져야 할 신앙
영감 신앙이 되어 가는 순서
육체의 욕심을 쫓아내는 법
새 사람으로 살아라
2.
ㄱ. 버려야 할 신앙 두 가지
 가. 여론 신앙
 나. 주관 신앙
ㄴ. 영감 신앙을 가져야 한다
====================
제목: 영감 신앙 방편되는 순서
예수님이 가르쳐 주신 방편

서론
2. 어제 배운 말씀의 재독
가. 여론 신앙에 대해서
ㄱ. 여론 신앙의 결과와 그 실상 해석
ㄴ. 여론 신앙 배격하고 영감신앙 가진 결과
나. 주관 신앙과 그 결과
다. 영감 신앙과 영감 신앙 가진데 대한 예수님의 칭찬
라. 영감 신앙가지는 자본 두 가지(자기 부인, 자기 십자가 지고)

본론
1. 영감신앙이 되기 까지의 순선(방편)
ㄱ, 성경 말씀을 실행. 실행의 목적은 자기속에 말씀에 배치되는 것을 쫓아내기 위해서
ㄴ. 실행 할때 몸, 마음과 말씀이 하나됨
ㄷ. 양심과 하나됨
2. 영감의 신앙 되기까지의 순서 정리
결론
영감 신앙되기까지의 순서 복습
<2>",,107호 246쪽,1984061110
2340,1984-06-12,화-새벽,마 16:17-20,딤후 3:16-17,영감 신앙의 받는 복,"영과 마음과 몸
영감된 사람의 복
베드로의 약속한 복
영감된 진리의 역할(목적)
영감으로 옛 사람을 물리쳐라
1.
ㄱ. 깨끗하게 지음 받은 우리의 몸
ㄴ. 두 지배를 받는 마음, 몸
2.
ㄱ. 너는  반석이다
ㄴ. 음부의 권세가 이기지 못하리라
ㄷ. 천국 열쇠를 주리니
ㄹ. 땅의 것, 하늘의 것 자윻는 자 되고

=======================
제목: 영감된 사람
1. 심신의 무죄성과 그 반론(물질 개악설)
ㄱ. 심신의 무죄성 - 기구와 같은 소유격이다
ㄴ. 반론:물질 개악설
2. 본문 16-17절 베드로를 알게 한 영감
ㄱ. 베드로를 알게 한 영감
ㄴ. 중생된 영
ㄷ. 심신의 피동성
3. 영감된 사람의 권위성(능력)
4. 영감의 사람이 되는 방편
ㄱ. 성경의 내재적 영감과 성경(말씀)이 온 목적, 딤후3:16-17근거
ㄴ. 사람의 심령 - 나운몽 장로의 비유
ㄷ. 마음 속에서 악령을 쫓아 내는 방편: 말씀 묵상
결론
우리가 하나님의 말씀을 자꾸 묵상하는 것으로만 악령의 감화를 쫓아 낼수 있다.
통성기도후:분방기도의 주의",,107호 259쪽,1984061220
2341,1984-06-13,수-새벽,마 5:13-16,눅 19:11-27,소금의 맛을 잃지 말라,"우리가 녹아져야 한다
맛 잃은 사람의 결과
맛을 간직한 결과
기회를 놓치지 말라
<재독의 필요성과 의미>
3.
ㄱ. 하루 품 삯이 고을을 얻는 것
ㄴ. 온 천하를 얻는 것보다 더 큰 수입",,222호 0쪽,1984061330
2342,1984-06-13,수요일저녁,마 16:13-26,,소금비유(진리와 영감화),"1. 소금과 우리의 생애의 본질
ㄱ. 다 소비디는 사람의 생애
ㄴ. 영감과 진리에 쓰여져야 될 우리의 생애
ㄷ. 영감과 진리에 쓰여지는 것이 영원 마련
2. 소금이 맛을 잃으면 어찌 다시 짜게 하리요의 해석: 진리. 영감화 시켜야 될 세상에서 
   시키지 못하면 다시는 할 수 없다.
3. 맛 잃은 소금의 비참
4. 진리와 영감대로 쓰여진, 진리. 영감화 된 것의 가치(므나 비유)와 이 사실을 믿는 믿음의 가치성
5. 진리 , 영감화됨의 어려움과 대적, 뺏기는 이유
결론
오늘에 진리. 영감화 시킬수 있는 기회를 놓치면 다시는 못 한다. 진리, 영감화된 것 그것이 무궁세계에서의 자기의
       실력이요, 무대이다.",,107호 280쪽,1984061333
2343,1984-06-14,목-새벽,마 16:24-25,,"영감 신앙, 주관신앙. 여론 신앙에 대해서","모든 것의 관리법:25절 해석
주관신앙은 부인할 것:하나님 보다 자기를 부인할 것
여론 신앙을  부인 할것: 자기 십자가를 지는 것
여론 신앙 가짐에 대한 주의 :모든 존재를 하나님에게 피동으로 사용할것
환경에 피동되지 않는 여론 신앙과 그 예증
통성기도후: 주관, 객관, 공부하는 이유:거기에 빠지지 않기 위해서
자기 부인=주관 신앙 회개, 자기 십자가=여론 신앙 회개",,107호 297쪽,1984061440
2344,1984-06-15,지권찰회,사 49:8,,은혜의 때,"제일 주의 할 것 세 가지
1.주의할 것 세 가지
2. 은혜 주실 때에 은혜 받아야 한다
------------ 1
제목:하나님이 함께 하심에 감사하고 영광을 돌려라
제일 주의 할 것 세 가지
본론
1. 대구 집회에서 병 나은 사람이 많은데 병 나은 게 큰 것이 아니고 하나님이 우리 집회에 같이 하신다는 것을 보이는 것이라
2. 팔월집회에 자기 맡은 식구들이 은혜 받도록 하고 감사함으로 할 것
3. 병나은 것은 병나은 게 큰 것아니고 하나님이 해 주심에 대해 감사하고 영광을 나타내야 함
결론
팔월집회를 주심은 은혜 받을 기회를 주셨으니 한 사람이라도 하나님이 같이 하시는 이 집회에 많이 참석해서 은혜를 더 받도록 할것",,107호 309쪽,1984061581
2345,1984-06-15,금요일저녁,마 16:13-26,,믿음 세 가지,"믿음 세가지에 대해
믿으면 하나님의 영광을 보리라
주님이 오신 목적
하나님의 소원
모든 것의 행복과 성공은 하나님 만이 해 주실수 있다.(1학년)
2학년은 끝없는 인내의 믿음이 있어야 하는데 이 믿음이 없음을 쓸모가 없다
믿음으로 사는 몇가지 예를 들어 말씀하심",,107호 320쪽,1984061553
2346,1984-06-16,토-새벽,마 16:13-20,,영감신앙,"자기가 영감 받아야 될 필요성
성령이 너희에게 임하시면 권능을 얻는다
영감으로 들은 베드로에 대한 하나님의 축복(7가지)
영감의 말씀 증거와 몇가지 예를 들으심
하나님의 말씀을 권능 있게 받은 예
하나님의 말씀을 권능으로 받을 것
",,107호 345쪽,1984061660
2347,1984-06-17,주일-새벽,마 24:35-45,,재림 맞이법,"1. 노아의 때와 재림의 때
2. 재림의 때는 아무도 모른다
3. 회개하라
============ 1
서론
1. 재림때의 형편: 노아의 때와 같을 예수님의 재림의 때
2. 언제일지 모르는 예수님의 재림
본론:우리의 준비
1. 예수님 재림때의 형편을 생각해 봄의 필요성과 예증-광도가 불탈때 6.25
2. 우리의 준비: 오늘에는 믿는 사람들이 너무 강팍하다. 자신을 살펴서 회개하며 주님의 재림 때를 생각하면서 모든 일을 하자",,107호 363쪽,1984061700
2348,1984-06-17,주일오전,시 73:1-28,,성경에 대한 확신을 가지자,"성경 말씀에 대한 확신을 가지자. 성경 말씀대로 된 것만 구원이 된다.
각 구절 해석
성경 말씀에 대해서 흐리 멍텅하게 하지 말고 확정을 짓고 다 바쳐서 충성하자
",,107호 368쪽,1984061701
2349,1984-06-17,주일오후,시 73:13-28,,믿는 사람을 세상에 두신 목적,"우리를 세상에 두신 목적을 아는 사람과 모르는 사람의 차이
본론
1. 세상은 세상을 위해서 주신 것이 아니고 영원 무궁한 세계와 영원 무궁토록 지극히 존귀한 그 분을 위해서 
주신 기이하고 오묘한 세상이다
2. 본1을 재요약및 구체적인 설명, 강조
3. 우리는 지척을 분별 못하는 소경이다.
4. 그런고로 하나님께 우리의 눈을 열어 달라고 기도하여 주님과 진리만 사모할 것",,107호 386쪽,1984061702
2350,1984-06-18,월-새벽,시 73:25-28,,사모의 대상은 하나님과 진리뿐,"서론
1. 하나님의 섭리의 성질: 사람이 모르게,       세월의 중요성: 식물이 자라는 것의 비유
2. 학개서 2장 근거: 하나님의 말씀대로 살라고 시작하면 자기와 모든 것이 변화되는 것과 변화 되는 역사
              (자기 자체 변화, 주위 사람들 변화, 심령이 밝아져 모든 것을 바로 알게 됨)
3. 2보충, 신앙 생활 작정한 그 때부터 변화됨과 바로 알고난 다음의 자기에 대한 인식및 세월의 중요성
본론
1. 본문 근거, 사모하는 것의 사람이 되는 것과 하나님과 진리만 사모할 것의 주의
2. 하나님과 진리만 사모함의 능력- 전지 전능이 내 안에 계시기 때문에 모든 것이 가능

결론
하나님과 진리외에 사모하는 것은 무엇이든지 서로 죽이는 것이다.
      하나님과 진리를 사모하는 것으로 우리의 시종을 바꾸자
통성기도후: 기도의 중요성과 재독의 필요성",,107호 398쪽,1984061810
2351,1984-06-19,화-새벽,딤전 3:15-17,,성경말씀의 사모,"서론
      1.우리속에 (몸,마음,행동)들어 있는 온갖 더러운 것
        ㄱ.성경에 기록되어 있는 것:하나님이 우리에게 주시고저 하는 것
        ㄴ.하나님이 우리에게 주시고저 하는 것은:우리에게 필요한 모든 것
        ㄷ.우리 속에 들어 있는 것:온갖 사망,썩음에 속한 것
        ㄹ.예수님의 공로로 바꿀 수 있는 지금
      2.우리속에 온갖 더러운 것을 청소하는 방편: 성경말씀
본론
      1.우리에게 주시고저 하는 하나님의 온갖 것이 담겨 있는 성경
        ㄱ.우리에게 주시고저 하는 하나님의 온갖 것이 담겨 있는 성경
        ㄴ.우리에게 있는 것과 정반대 되는 성경에 있는 것
      2.인간에게 온갖 더러운 것이 있음과 이것이 들어 오게 된 경위 및 쫓아내는 방편인 성경말씀 사모
ㄱ.경위 :죄->마귀
ㄴ.방편:성경말씀 사모,예증:무거운 것으로 가벼운 것을 넘어가게 하는 것 
ㄷ.방편 구체적 설명
3.말씀 사모하는 데 대한 오해 주의: 말씀 사모하면 전지전능이 내 안에 계시기 때문에 모든 것 해결
결론
마귀의 유혹에 들지말자
",,107호 410쪽,1984061920
2352,1984-06-20,수-새벽,딤전 3:15-17,,성경과 성경 읽는 목적,"성경을 읽는 목적: 구원에 이르는 지혜를 얻기 위해서 구원을 우리의 과거 현재, 미래에 대해서 바로 돼야 함
성경에서만 알수 있는 우리의 과거 현재 미래에 관련성
성경에 기록돼 있는 모든 것: 모든 존재에 대해서 성경에서만 바로 가르침 받을 수 있다.
본문 인용: 성경을 읽는 목적와 주의 및 성경을 바로 읽었을 때의 사람의 변화 됨
성경은 우리에게 구원에 이르는 지혜를 얻게 하는 것이다. 구원에 이르는 지혜를 얻기 위햇서 성경을 읽자
",,107호 423쪽,1984062030
2353,1984-06-20,수요일저녁,계 3:14-22,,라오디게아 교회,"라오디게아 교회는 일곱교회 중에 특수한 타락교회요, 특수한 능력을 가지시고 주님이 찾아 오신교회요,특수한 소망을 가진 교회이다
17절
18절에 사는 것 세가지에 대해
첫째 금을 사는 데 대해
둘째 흰옷 사는 데 대해
셋째 안약 사는 데 대해
세가지 사되 생명까지 내놓고 라도 최고급을 사자",,107호 431쪽,1984062033
2354,1984-06-21,목-새벽,딤전 3:16-17,,하나님의 말씀 묵상,"하나님의 모든 것이 나타나 있는 성경
마귀의 것이 가득한 세상
하나님의 말씀 묵상으로 마귀의 것을 쫓아 내고, 하나님의 것을 영점할때에 일어나는 싸움과 우리의 자유성에 있는 영접과 배척의 주권, 예증:갓난아이
하나님 말씀 묵상한 사람의 결과: 시냇가에 심은나무와 같음
내 마음에 하나님의 말씀에 반대되는 것이 있음으로 인한 말씀 영접시 주의:내 마음에 반대되는 것을 영접할 것
하나님 말씀 묵상으로만 마귀를 쫓아 낼수 있다.
1. 하나님의 감동으로 된 성경, 감동은 하나님의 마음, 하나님의 마음은 하나님의 뜻, 하나님의 의사에 나타나 있는 하나님의 모든 것,
2. 마귀의 것으로 커지는 사람임과 예수 믿은 후로부터 들어오는 하나님의 것",,107호 448쪽,1984062140
2355,1984-06-22,금-새벽,딤전 3:16-17,,성경,"성경만이 우리에게 구원에 이르는 지혜를 주는 것
성경을 읽는 목적과 성경에서 얻는 지혜-좌거, 현재, 미래에 대한 지혜를얻기 위해서
성경 읽는 태도 예증, 조심해서 읽는 것-권이만 목사임
성경은 우리에게 구원에 이르는 지혜를 준다. 과거 현재 미래에 대한 지혜를 얻기 위해서 성경을 보라
",,107호 448쪽,1984062250
2356,1984-06-22,지권찰회,마 25:7-13,,예비,"기독교는 예비의 도다
거창집회에서 성령의 권능을 받도록 몇가지 준비기도가 있어야 할 것
무엇이든지 실수하지 않도록 미리부터 예비적으로 할 것과 병나음의 예를 드심
그그런고로 거창집회 준비도 예비적으로 할 것
보충:기도
",,107호 469쪽,1984062281
2357,1984-06-23,토-새벽,마 24:42-51,,자는 것과 깨는 것(신앙의 잠의 원수),"1.깨어있는 것은 ㄱ.도적맞지 않는 것 ㄴ.하나님의 재림을 두려움 없이 맞이 하는 것 ㄷ.형제에게 양식 나눠주는 것
2.자는 것은  ㄱ.형제를 때리는 것 ㄴ.세상에 취해서 주님늬 재림을 생각지 못하는 것 ㄷ.도적맞는 것
3.자는 것과 깨어 있는 것 복습 정리
4.깨는 것은 세가지 전투하는  것 ㄱ.세가지 대속 입기 위한  ㄴ.성령의 감화 입기 위한  ㄷ.진리 입기 위한
5.전투가 식어지는 것은:세상에 취해서
6.설교의 요지:우리의 신앙을 잠들게 하는 원수와 잠든 자의 상태
                    우리의 신앙을 잠들게 하는 원수를 발견해서 물리치자
                    자는 자의 상태  ,원수(1.세상 2.세상주의 ,사상 3.자기)
결론
 우리의 신앙을 잠들게 하는 원수를 발견하여 물리치자",,107호 475쪽,1984062360
2358,1984-06-24,주일-새벽,요 15:9-14,,형제구원,"주님의 사랑안에 거하는 방편은 주님의 명령을 지키는 것임과 주님의 명령은 형제를 사랑하는 것
우리가 신앙생활하는 모든 생활은 형제의 구원을 위해서
형제구원의 애로와 기쁨 및 그 기쁨의 성질
형제구원 위한 노력의 정도와 희생한 분들의 예증
형제구원의 가치
목사님의 교회 첫출발
제목; 주님 사랑안에 거하는 방편
1. 주님 사랑안에 거하게 되는 방편
2. 말씀의 목적
3. 인간구원에 목숨바치자
---------- 1",,222호 493쪽,1984062400
